"filename", "language", "JavaScript", "Markdown", "Vue", "JSON", "HTML", "CSS", "Less", "XML", "comment", "blank", "total"
"f:\waterManager\water_admin\src\CSS\HelloWord.css", "CSS", 0, 0, 0, 0, 0, 88, 0, 0, 8, 24, 120
"f:\waterManager\water_admin\src\CSS\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\waterManager\water_admin\src\CSS\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\waterManager\water_admin\src\CSS\style.css", "CSS", 0, 0, 0, 0, 0, 330, 0, 0, 9, 41, 380
"f:\waterManager\water_admin\src\api\login.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 8, 3, 35
"f:\waterManager\water_admin\src\api\user.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 8, 4, 173
"f:\waterManager\water_admin\src\assets\css\global.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"f:\waterManager\water_admin\src\assets\css\global.less", "Less", 0, 0, 0, 0, 0, 0, 22, 0, 2, 2, 26
"f:\waterManager\water_admin\src\assets\font\demo.css", "CSS", 0, 0, 0, 0, 0, 435, 0, 0, 19, 86, 540
"f:\waterManager\water_admin\src\assets\font\demo_index.html", "HTML", 0, 0, 0, 0, 376, 0, 0, 0, 2, 46, 424
"f:\waterManager\water_admin\src\assets\font\iconfont.css", "CSS", 0, 0, 0, 0, 0, 49, 0, 0, 0, 14, 63
"f:\waterManager\water_admin\src\assets\font\iconfont.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\src\assets\font\iconfont.json", "JSON", 0, 0, 0, 86, 0, 0, 0, 0, 0, 1, 87
"f:\waterManager\water_admin\src\assets\font\iconfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 3, 27, 60
"f:\waterManager\water_admin\src\components\alarmSet.vue", "Vue", 0, 0, 144, 0, 0, 0, 0, 0, 6, 9, 159
"f:\waterManager\water_admin\src\components\alarmTime.vue", "Vue", 0, 0, 146, 0, 0, 0, 0, 0, 6, 10, 162
"f:\waterManager\water_admin\src\components\checkManager.vue", "Vue", 0, 0, 153, 0, 0, 0, 0, 0, 13, 11, 177
"f:\waterManager\water_admin\src\components\checkUser.vue", "Vue", 0, 0, 155, 0, 0, 0, 0, 0, 13, 8, 176
"f:\waterManager\water_admin\src\components\detectPoint.vue", "Vue", 0, 0, 139, 0, 0, 0, 0, 0, 5, 7, 151
"f:\waterManager\water_admin\src\components\editAlarmTimes.vue", "Vue", 0, 0, 147, 0, 0, 0, 0, 0, 5, 8, 160
"f:\waterManager\water_admin\src\components\editInfo.vue", "Vue", 0, 0, 282, 0, 0, 0, 0, 0, 10, 12, 304
"f:\waterManager\water_admin\src\components\editInitData.vue", "Vue", 0, 0, 147, 0, 0, 0, 0, 0, 2, 9, 158
"f:\waterManager\water_admin\src\components\editNowAlarmLevel.vue", "Vue", 0, 0, 69, 0, 0, 0, 0, 0, 1, 3, 73
"f:\waterManager\water_admin\src\components\error.vue", "Vue", 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"f:\waterManager\water_admin\src\components\head.vue", "Vue", 0, 0, 70, 0, 0, 0, 0, 0, 2, 6, 78
"f:\waterManager\water_admin\src\components\home.vue", "Vue", 0, 0, 145, 0, 0, 0, 0, 0, 6, 9, 160
"f:\waterManager\water_admin\src\components\login.vue", "Vue", 0, 0, 240, 0, 0, 0, 0, 0, 13, 2, 255
"f:\waterManager\water_admin\src\components\myInfo.vue", "Vue", 0, 0, 135, 0, 0, 0, 0, 0, 1, 6, 142
"f:\waterManager\water_admin\src\components\page\acceleration.vue", "Vue", 0, 0, 168, 0, 0, 0, 0, 0, 17, 9, 194
"f:\waterManager\water_admin\src\components\page\alarmInfo.vue", "Vue", 0, 0, 152, 0, 0, 0, 0, 0, 29, 9, 190
"f:\waterManager\water_admin\src\components\page\alarmTime.vue", "Vue", 0, 0, 83, 0, 0, 0, 0, 0, 2, 4, 89
"f:\waterManager\water_admin\src\components\page\contrast.vue", "Vue", 0, 0, 212, 0, 0, 0, 0, 0, 19, 9, 240
"f:\waterManager\water_admin\src\components\page\dataInfo.vue", "Vue", 0, 0, 72, 0, 0, 0, 0, 0, 3, 5, 80
"f:\waterManager\water_admin\src\components\page\height.vue", "Vue", 0, 0, 50, 0, 0, 0, 0, 0, 3, 6, 59
"f:\waterManager\water_admin\src\components\page\map.vue", "Vue", 0, 0, 178, 0, 0, 0, 0, 0, 19, 6, 203
"f:\waterManager\water_admin\src\components\page\speed.vue", "Vue", 0, 0, 169, 0, 0, 0, 0, 0, 14, 12, 195
"f:\waterManager\water_admin\src\components\page\speedPage.vue", "Vue", 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"f:\waterManager\water_admin\src\components\page\waterSpeed.vue", "Vue", 0, 0, 65, 0, 0, 0, 0, 0, 3, 8, 76
"f:\waterManager\water_admin\src\components\start.vue", "Vue", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"f:\waterManager\water_admin\src\main.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 15, 2, 40
"f:\waterManager\water_admin\src\router\index.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 0, 18, 10, 154
"f:\waterManager\water_admin\src\store\Bus.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 11
"f:\waterManager\water_admin\src\store\index.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 9, 3, 49
"f:\waterManager\water_admin\src\tools\SocketService.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 17, 4, 65
"f:\waterManager\water_admin\src\tools\cookie.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 11, 2, 32
"f:\waterManager\water_admin\src\tools\fun.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 8, 2, 13
"f:\waterManager\water_admin\src\tools\map_utils.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 8, 2, 53
"f:\waterManager\water_admin\src\tools\request.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 16, 10, 46
"f:\waterManager\water_admin\src\views\About.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"f:\waterManager\water_admin\src\views\Home.vue", "Vue", 0, 0, 22, 0, 0, 0, 0, 0, 1, 3, 26
"f:\waterManager\water_admin\src\views\index.vue", "Vue", 0, 0, 278, 0, 0, 0, 0, 0, 7, 34, 319
"f:\waterManager\water_admin\vue.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 8, 3, 32
"Total", "-", 1566, 15, 3536, 11720, 395, 926, 22, 30, 412, 527, 19149
